reaction,unique_aer_id_number,original_receive_date,number_of_animals_affected,primary_reporter,number_of_animals_treated,drug,onset_date,report_id,type_of_information,receiver.organization,receiver.street_address,receiver.city,receiver.state,receiver.postal_code,receiver.country,health_assessment_prior_to_exposure.assessed_by,animal.species,animal.gender,animal.age.min,animal.age.max,animal.age.unit,animal.age.qualifier,animal.weight.min,animal.weight.max,animal.weight.unit,animal.weight.qualifier,animal.breed.is_crossbred,animal.breed.breed_component,animal.reproductive_status,animal.female_animal_physiological_status,outcome
"[{'veddra_version': '11', 'veddra_term_code': '293', 'veddra_term_name': 'Hypersalivation'}, {'veddra_version': '11', 'veddra_term_code': '687', 'veddra_term_name': 'Trembling'}, {'veddra_version': '2', 'veddra_term_code': '99942', 'veddra_term_name': 'DEATH-SLAUGHTERED'}, {'veddra_version': '11', 'veddra_term_code': '658', 'veddra_term_name': 'Recumbency'}]",USA-USFDACVM-2015-US-051913,19870618,1,Other,15,"[{'route': 'Subcutaneous', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N102437'}, 'atc_vet_code': 'QP52AE01', 'active_ingredients': [{'name': 'Levamisole Phosphate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N102437,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,.00,,C17998,Measured,396.890,,Kilogram,Measured,false,Cattle (unknown),,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '1039', 'veddra_term_name': 'Lack of efficacy'}]",USA-USFDACVM-2015-US-065183,19870527,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N131310'}, 'atc_vet_code': 'QG03DX90', 'active_ingredients': [{'name': 'Altrenogest', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870527,N131310,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Female,18.00,,Year,Measured,498.950,,Kilogram,Measured,false,Thoroughbred,,,
"[{'veddra_version': '11', 'veddra_term_code': '293', 'veddra_term_name': 'Hypersalivation'}, {'veddra_version': '11', 'veddra_term_code': '512', 'veddra_term_name': 'Anaphylaxis'}, {'veddra_version': '11', 'veddra_term_code': '839', 'veddra_term_name': 'Dyspnoea'}, {'veddra_version': '11', 'veddra_term_code': '1009', 'veddra_term_name': 'Cyanosis'}, {'veddra_version': '11', 'veddra_term_code': '1110', 'veddra_term_name': 'Facial oedema'}]",USA-USFDACVM-2015-US-038491,19870424,5,Other,5,"[{'route': 'Intramuscular', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N055089'}, 'atc_vet_code': 'QJ01CA04', 'active_ingredients': [{'name': 'Amoxicillin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870427,N055089,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,6.00,6.00,Month,Measured,226.800,226.800,Kilogram,Measured,false,Hereford cattle,,,
"[{'veddra_version': '11', 'veddra_term_code': '2043', 'veddra_term_name': 'Residues in milk'}]",USA-USFDACVM-2015-US-048936,19870513,1,Other,1,"[{'route': 'Intramammary', 'brand_name': 'MSK', 'dosage_form': 'Gel', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N097222'}, 'atc_vet_code': 'QJ51DB08', 'active_ingredients': [{'name': 'Cephapirin Sodium', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870513,N097222,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Female,11.00,,Year,Measured,589.670,,Kilogram,Measured,false,Holstein-Friesian also known as Holstein,,,
"[{'veddra_version': '11', 'veddra_term_code': '981', 'veddra_term_name': 'Death by euthanasia'}, {'veddra_version': '11', 'veddra_term_code': '1030', 'veddra_term_name': 'Ascites'}, {'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}]",USA-USFDACVM-2015-US-068285,19870521,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870521,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,11.00,,Month,Measured,20.410,,Kilogram,Measured,false,Dalmatian,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '2', 'veddra_term_code': '99629', 'veddra_term_name': 'PR-LIVER, LESION(S)'}, {'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",USA-USFDACVM-2015-US-048751,19870618,1,Other,2,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N097221'}, 'atc_vet_code': 'QP52AC09', 'active_ingredients': [{'name': 'Mebendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N097221,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Female,5.00,,Year,Measured,453.590,,Kilogram,Measured,false,Crossbred Equine/horse,,,
"[{'veddra_version': '11', 'veddra_term_code': '499', 'veddra_term_name': 'Icterus'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}]",USA-USFDACVM-2015-US-068300,19870604,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19860612,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,18.00,,Month,Measured,24.950,,Kilogram,Measured,false,Crossbred Canine/dog,Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '406', 'veddra_term_name': 'Blindness'}, {'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}, {'veddra_version': '11', 'veddra_term_code': '690', 'veddra_term_name': 'Mydriasis'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",-USFDACVM-2015-FN-002610,19870629,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N134314'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870629,N134314,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,2.00,,Year,Measured,19.960,,Kilogram,Measured,false,Collie (unspecified),,,
"[{'veddra_version': '11', 'veddra_term_code': '1952', 'veddra_term_name': 'Alkaline urine'}, {'veddra_version': '2', 'veddra_term_code': '99255', 'veddra_term_name': 'HYPERGLOBULINEMIA'}, {'veddra_version': '11', 'veddra_term_code': '718', 'veddra_term_name': 'Polyuria'}, {'veddra_version': '11', 'veddra_term_code': '1029', 'veddra_term_name': 'Oedema NOS (see other SOCs for specific oedemas)'}, {'veddra_version': '11', 'veddra_term_code': '1030', 'veddra_term_name': 'Ascites'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}, {'veddra_version': '11', 'veddra_term_code': '2155', 'veddra_term_name': 'Hyperproteinaemia'}]",USA-USFDACVM-2015-US-068264,19870420,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870420,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,6.00,,Year,Measured,6.800,,Kilogram,Measured,false,Schnauzer (unspecified),Neutered,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '164', 'veddra_term_name': 'Leucopenia'}, {'veddra_version': '11', 'veddra_term_code': '2245', 'veddra_term_name': 'Elevated creatine-kinase (CK)'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '644', 'veddra_term_name': 'Opisthotonus'}, {'veddra_version': '11', 'veddra_term_code': '690', 'veddra_term_name': 'Mydriasis'}, {'veddra_version': '11', 'veddra_term_code': '735', 'veddra_term_name': 'Urinary incontinence'}, {'veddra_version': '11', 'veddra_term_code': '658', 'veddra_term_name': 'Recumbency'}, {'veddra_version': '11', 'veddra_term_code': '1069', 'veddra_term_name': 'Faecal incontinence'}, {'veddra_version': '11', 'veddra_term_code': '667', 'veddra_term_name': 'Loss of consciousness'}]",USA-USFDACVM-2015-US-063469,19870406,1,Other,4,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870408,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cat,Female,6.00,,Year,Measured,3.630,,Kilogram,Measured,false,Domestic (unspecified),Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '299', 'veddra_term_name': 'Buccal irritation'}, {'veddra_version': '11', 'veddra_term_code': '263', 'veddra_term_name': 'Abdominal pain'}, {'veddra_version': '11', 'veddra_term_code': '521', 'veddra_term_name': 'Urticaria'}, {'veddra_version': '', 'veddra_term_code': '672', 'veddra_term_name': 'Organophosphate toxicity NOS'}]",USA-USFDACVM-2015-US-069378,19870608,24,Other,100,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Paste', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136740'}, 'atc_vet_code': 'QP52AC52', 'active_ingredients': [{'name': 'Oxfendazole, Trichlorfon', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870608,N136740,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Mixed,.00,.00,C17998,Measured,408.230,408.230,Kilogram,Measured,false,Arab,,,
"[{'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}, {'veddra_version': '11', 'veddra_term_code': '687', 'veddra_term_name': 'Trembling'}, {'veddra_version': '11', 'veddra_term_code': '659', 'veddra_term_name': 'Confusion'}]",USA-USFDACVM-2015-US-063483,19870618,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870618,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,7.00,,Year,Measured,31.750,,Kilogram,Measured,false,Collie (unspecified),,NOT APPLICABLE,
"[{'veddra_version': '2', 'veddra_term_code': '99160', 'veddra_term_name': 'INEFFECTIVE, WORMS'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-070449,19870505,2,Other,56,"[{'route': 'Oral', 'brand_name': 'MSK', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N139189'}, 'atc_vet_code': 'QP52AC13', 'active_ingredients': [{'name': 'Fenbendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870505,N139189,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Mixed,.00,.00,C17998,Measured,306.170,306.170,Kilogram,Measured,false,Crossbred Bovine/Cattle,,,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-029528,19870422,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N032702'}, 'atc_vet_code': 'QN05AA04', 'active_ingredients': [{'name': 'Acepromazine Maleate', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870422,N032702,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,4.00,,Year,Measured,9.070,,Kilogram,Measured,false,Lhasa Apso,Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '776', 'veddra_term_name': 'Birth defect'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}]",USA-USFDACVM-2015-US-062442,19870622,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Granule', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N121473'}, 'atc_vet_code': 'QP52AC13', 'active_ingredients': [{'name': 'Fenbendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870622,N121473,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,2.00,,Year,Measured,24.950,,Kilogram,Measured,false,Terrier - Airedale,Intact,Pregnant Nonlactating,
"[{'veddra_version': '11', 'veddra_term_code': '302', 'veddra_term_name': 'Diarrhoea'}, {'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",USA-USFDACVM-2015-US-068319,19870625,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870625,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Female,9.00,,Week,Measured,3.630,,Kilogram,Measured,false,Retriever - Golden,,,
"[{'veddra_version': '11', 'veddra_term_code': '512', 'veddra_term_name': 'Anaphylaxis'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-055600,19870513,1,Other,1,"[{'route': 'Intravenous', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N106965'}, 'atc_vet_code': 'QJ01EW10', 'active_ingredients': [{'name': 'Sulfadiazine, Trimethoprim', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870513,N106965,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Male,2.00,,Year,Measured,408.230,,Kilogram,Measured,false,Standardbred (unspecified),,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '117', 'veddra_term_name': 'Hallucination'}]",USA-USFDACVM-2015-US-032863,19870508,3,Other,3,"[{'route': 'Intramuscular', 'brand_name': 'MSK', 'dosage_form': 'Injection', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N043304'}, 'atc_vet_code': 'QN01AX03', 'active_ingredients': [{'name': 'Ketamine Hydrochloride', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870508,N043304,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cat,Mixed,.00,.00,C17998,Measured,,,,Unknown,false,Domestic (unspecified),,,
"[{'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}, {'veddra_version': '11', 'veddra_term_code': '698', 'veddra_term_name': 'Paresis'}, {'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '658', 'veddra_term_name': 'Recumbency'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}]",USA-USFDACVM-2015-US-063471,19870409,5,Other,10,"[{'route': 'Subcutaneous', 'brand_name': 'MSK', 'dosage_form': 'Suspension', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N128409'}, 'atc_vet_code': 'QP54AA01', 'active_ingredients': [{'name': 'Ivermectin', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870409,N128409,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Cattle,Male,12.00,12.00,Month,Measured,167.830,167.830,Kilogram,Measured,false,Holstein-Friesian also known as Holstein,Neutered,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}, {'veddra_version': '11', 'veddra_term_code': '654', 'veddra_term_name': 'Ataxia'}, {'veddra_version': '11', 'veddra_term_code': '118', 'veddra_term_name': 'Hyperactivity'}]",USA-USFDACVM-2015-US-036697,19870526,1,Other,1,"[{'route': 'Unknown', 'brand_name': 'MSK', 'dosage_form': 'Solution', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N047956'}, 'atc_vet_code': 'QN05CM92', 'active_ingredients': [{'name': 'Xylazine', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}, {'brand_name': 'MSK', 'manufacturer': {'name': 'MSK'}, 'active_ingredients': [{'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870526,N047956,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Horse,Male,14.00,,Year,Measured,453.590,,Kilogram,Measured,false,Thoroughbred,,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '334', 'veddra_term_name': 'Vomiting'}]",USA-USFDACVM-2015-US-068265,19870424,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870424,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,.00,,C17998,Measured,,,,Unknown,false,Dachshund (unspecified),,NOT APPLICABLE,
"[{'veddra_version': '11', 'veddra_term_code': '984', 'veddra_term_name': 'Death'}]",USA-USFDACVM-2015-US-058857,19870401,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N117689'}, 'atc_vet_code': 'QN03AA03', 'active_ingredients': [{'name': 'Primidone', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870401,N117689,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,2.00,,Year,Measured,,,,Unknown,false,Poodle (unspecified),,NOT APPLICABLE,"[{'medical_status': 'Died', 'number_of_animals_affected': '1'}]"
"[{'veddra_version': '11', 'veddra_term_code': '996', 'veddra_term_name': 'Anorexia'}, {'veddra_version': '11', 'veddra_term_code': '1024', 'veddra_term_name': 'Depression'}, {'veddra_version': '11', 'veddra_term_code': '2049', 'veddra_term_name': 'Elevated AST'}, {'veddra_version': '11', 'veddra_term_code': '2050', 'veddra_term_name': 'Elevated ALT'}, {'veddra_version': '11', 'veddra_term_code': '2055', 'veddra_term_name': 'Elevated SAP'}]",USA-USFDACVM-2015-US-068315,19870625,1,Other,1,"[{'route': 'Oral', 'brand_name': 'MSK', 'dosage_form': 'Tablet', 'manufacturer': {'name': 'MSK', 'registration_number': 'USA-USFDACVM-N136483'}, 'atc_vet_code': 'QP52AC57', 'active_ingredients': [{'name': 'Diethylcarbamazine, Oxibendazole', 'dose': {'numerator': '1', 'numerator_unit': 'Unknown', 'denominator': '1', 'denominator_unit': 'Unknown'}}]}]",19870625,N136483,Safety Issue,Food and Drug Administration Center for Veterinary Medicine,7500 Standish Place (HFV-210) Room N403,Rockville,MD,20855,USA,Veterinarian,Dog,Male,10.00,,Year,Measured,22.680,,Kilogram,Measured,false,Pointing Dog - Hungarian Short-haired (Vizsla),,NOT APPLICABLE,
